Entry ID	LNIC Code	Entity-Type	Subtype(s)	Vocabulary	Code	Vocabulary Preferred Name	Mapping_type	Mapping confidence	Version
004	LNIC-100-004	SMZL		ICDO3	9689/3	Splenic marginal zone B-cell lymphoma (C42.2) 	exact	High	International Classification of Diseases for Oncology, Third Edition, Second Revision (ICD-O-3.2), 2025
004	LNIC-100-004	SMZL		ICD9	200.3	Marginal zone lymphoma	broader	High	International Classification of Diseases, Ninth Revision (ICD-9)
004	LNIC-100-004	SMZL		ICD10CM	C83.0_	Small cell B-cell lymphoma	broader	High	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
004	LNIC-100-004	SMZL		ICD10CM	C83.0A	Small cell B-cell lymphoma, in remission	partial	Moderate	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
004	LNIC-100-004	SMZL		ICD10	C83.0	Non-Hodgkin lymphoma small cell (diffuse)	broader	High	International Statistical Classification of Diseases and Related Health Problems, Tenth Revision (ICD-10)
004	LNIC-100-004	SMZL		EFO	MONDO_0019462	splenic marginal zone lymphoma	exact	High	3.91.0
004	LNIC-100-004	SMZL		ICDO4	96890/3	Splenic marginal zone lymphoma, NOS	exact	High	International Classification of Diseases for Oncology, Fourth Edition
005	LNIC-100-005	SDRPL		UMLS	C2699508	Splenic diffuse red pulp small B-cell lymphoma	exact	High	2026AA
005	LNIC-100-005	SDRPL		ICDO3	9591/3	Malignant lymphoma, non-Hodgkin, NOS 	broader	High	International Classification of Diseases for Oncology, Third Edition, Second Revision (ICD-O-3.2), 2025
005	LNIC-100-005	SDRPL		ICD9	202.8	Other lymphoma	broader	High	International Classification of Diseases, Ninth Revision (ICD-9)
005	LNIC-100-005	SDRPL		ICD10CM	C85.1_	Unspecified B-cell lymphoma	broader	High	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
005	LNIC-100-005	SDRPL		ICD10CM	C85.1A	Unspecified B-cell lymphoma, in remission	partial	Moderate	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
005	LNIC-100-005	SDRPL		ICD10	C85.0	Lymphosarcoma	broader	Moderate	International Statistical Classification of Diseases and Related Health Problems, Tenth Revision (ICD-10)
005	LNIC-100-005	SDRPL		ICD10	C85.1	B-cell lymphoma, unspecified	broader	High	International Statistical Classification of Diseases and Related Health Problems, Tenth Revision (ICD-10)
005	LNIC-100-005	SDRPL		EFO	MONDO_0017599	splenic diffuse red pulp small B-cell lymphoma	exact	High	3.91.0
005	LNIC-100-005	SDRPL		ICDO4	95915/3	Splenic diffuse red pulp small B-cell lymphoma	exact	High	International Classification of Diseases for Oncology, Fourth Edition
