Source	Entry ID	LNIC Code	WHO-HAEM5 Category	WHO-HAEM5 Family-Class	WHO-HAEM5 Entity-Type	Interlymph 2010 Entity-Type based on WHO-HAEM4	Lineage-Nature	Major Group	Category	Class-Family	Entity-Type	Subtype(s)
ST1	100	LNIC-330-100	Mature B-cell neoplasms (M-BCN)	Tumour-like lesions with B-cell predominance	KSHV/HHV8-associated multicentric Castleman disease	Large B-cell (plasmablastic) lymphoma arising in human herpes virus 8-associated multicentric Castleman disease (HHV-8 MCD-PBL)	TLL	TLL	Mature B-cell	TLL with B-cell predominance	KSHV8/HHV-MCD	
ST2	101	LNIC-103-101	Precursor B-cell neoplasms	B-cell lymphoblastic leukaemias / lymphomas (B-ALL/LBL)	B-ALL/LBL, NOS	Precursor acute lymphoblastic leukemia/lymphoma, B-cell, NOS (B-ALL/LPL, NOS)	LN	NHL	Precursor B-cell	B-ALL/LBL	B-ALL/LBL,NOS	B-ALL or LBL,NOS
ST2	102	LNIC-103-102	Precursor B-cell neoplasms	B-cell lymphoblastic leukaemias / lymphomas (B-ALL/LBL)	B-ALL/LBL with high hyperdiploidy	NEW	LN	NHL	Precursor B-cell	B-ALL/LBL	B-ALL/LBL-RGA	
ST2	103	LNIC-103-103	Precursor B-cell neoplasms	B-cell lymphoblastic leukaemias / lymphomas (B-ALL/LBL)	B-ALL/LBL with hypodiploidy	NEW (WHO4R)	LN	NHL	Precursor B-cell	B-ALL/LBL	B-ALL/LBL with hypodiploidy	
ST2	104	LNIC-103-104	Precursor B-cell neoplasms	B-cell lymphoblastic leukaemias / lymphomas (B-ALL/LBL)	B-ALL/LBL with iAMP21	NEW (WHO4R)	LN	NHL	Precursor B-cell	B-ALL/LBL	B-ALL/LBL with iAMP21	
ST2	105	LNIC-103-105	Precursor B-cell neoplasms	B-cell lymphoblastic leukaemias / lymphomas (B-ALL/LBL)	B-ALL/LBL with BCR::ABL1 fusion	NEW	LN	NHL	Precursor B-cell	B-ALL/LBL	B-ALL/LBL with BCR::ABL1 fusion	
ST2	106	LNIC-103-106	Precursor B-cell neoplasms	B-cell lymphoblastic leukaemias / lymphomas (B-ALL/LBL)	B-ALL/LBL with BCR::ABL1-like features	NEW	LN	NHL	Precursor B-cell	B-ALL/LBL	B-ALL/LBL with BCR::ABL1-like features	
ST2	107	LNIC-103-107	Precursor B-cell neoplasms	B-cell lymphoblastic leukaemias / lymphomas (B-ALL/LBL)	B-ALL/LBL with KMT2A rearrangement	NEW	LN	NHL	Precursor B-cell	B-ALL/LBL	B-ALL/LBL with KMT2A rearrangement	
ST2	108	LNIC-103-108	Precursor B-cell neoplasms	B-cell lymphoblastic leukaemias / lymphomas (B-ALL/LBL)	B-ALL/LBL with ETV6::RUNX1 fusion	NEW	LN	NHL	Precursor B-cell	B-ALL/LBL	B-ALL/LBL with ETV6::RUNX1 fusion	
ST2	109	LNIC-103-109	Precursor B-cell neoplasms	B-cell lymphoblastic leukaemias / lymphomas (B-ALL/LBL)	B-ALL/LBL with ETV6::RUNX1-like features	NEW	LN	NHL	Precursor B-cell	B-ALL/LBL	B-ALL/LBL with ETV6::RUNX1-like features	
ST2	110	LNIC-103-110	Precursor B-cell neoplasms	B-cell lymphoblastic leukaemias / lymphomas (B-ALL/LBL)	B-ALL/LBL with TCF3::PBX1 fusion	NEW	LN	NHL	Precursor B-cell	B-ALL/LBL	B-ALL/LBL with TCF3::PBX1 fusion	
ST2	111	LNIC-103-111	Precursor B-cell neoplasms	B-cell lymphoblastic leukaemias / lymphomas (B-ALL/LBL)	B-ALL/LBL with IGH::IL3 fusion	NEW	LN	NHL	Precursor B-cell	B-ALL/LBL	B-ALL/LBL with IGH::IL3 fusion	
ST2	112	LNIC-103-112	Precursor B-cell neoplasms	B-cell lymphoblastic leukaemias / lymphomas (B-ALL/LBL)	B-ALL/LBL with TCF3:HLF fusion	NEW	LN	NHL	Precursor B-cell	B-ALL/LBL	B-ALL/LBL with TCF3:HLF fusion	
ST2	113	LNIC-103-113	Precursor B-cell neoplasms	B-cell lymphoblastic leukaemias / lymphomas (B-ALL/LBL)	B-ALL/LBL with other defined genetic abnormalities	Precursor B-lymphoblastic leukemia/lymphoma with recurrent genetic abnormalities (7 subtypes) (B-ALL/LBL-RGA)	LN	NHL	Precursor B-cell	B-ALL/LBL	B-ALL/LBL with other defined genetic abnormalities	B-ALL with  DUX4 rearrangement, MEF2D rearrangement, ZNF384 rearrangement, PAX5 alterations or PAX5 p.P80R abnormalities, NUTM1 rearrangements or MYC rearrangement
ST3	114	LNIC-334-114	Tumour-like lesions with T-cell predominance	Tumour-like lesions with T-cell predominance	Kikuchi-Fujimoto disease (KFD)	NEW	TLL	TLL	Mature T-cell	Tumour-like lesions with T-cell predominance	KFD	
ST3	115	LNIC-334-115	Tumour-like lesions with T-cell predominance	Tumour-like lesions with T-cell predominance	Autoimmune lymphoproliferative syndrome (ALPS)	NEW	TLL	TLL	Mature T-cell	Tumour-like lesions with T-cell predominance	ALPS	Germline FAS(ALPS-FAS), somatic FAS(ALPS-sFAS), germline other specified FAS-pathway germline mutation (FASLG, CASP10, CASP8, FADD), unknown underlying mutation (ALPS-U)
ST3	116	LNIC-335-116	Tumour-like lesions with T-cell predominance	Tumour-like lesions with T-cell predominance	Indolent T-lymphoblastic proliferation (iT-LBP)	NEW	TLL	TLL	Precursor T-cell	Tumour-like lesions with T-cell predominance	iT-LBP	
ST4	117	LNIC-105-117	Precursor T-cell neoplasms	T-lymphoblastic leukaemia / lymphoma (T-ALL/LBL)	T-lymphoblastic leukaemia / lymphoma, NOS  	NEW	LN	NHL	Precursor T-cell	T-ALL/LBL	T-ALL/LBL,NOS	
ST4	118	LNIC-105-118	Precursor T-cell neoplasms	T-lymphoblastic leukaemia / lymphoma (T-ALL/LBL)	Early T-precursor lymphoblastic leukemia / lymphoma (ETP-ALL)	NEW	LN	NHL	Precursor T-cell	T-ALL/LBL	ETP-ALL	
